"year","desc","count"
"2008","ALCOHOLIC BEVERAGE CONTROL LAW",58
"2008","ANTICIPATORY OFFENSES",14
"2008","ARSON",1842
"2008","ASSAULT 3 & RELATED OFFENSES",50237
"2008","BURGLAR'S TOOLS",171
"2008","BURGLARY",20716
"2008","CHILD ABANDONMENT/NON SUPPORT",41
"2008","CRIMINAL MISCHIEF & RELATED OF",56281
"2008","CRIMINAL TRESPASS",8321
"2008","DANGEROUS DRUGS",38641
"2008","DANGEROUS WEAPONS",12911
"2008","DISORDERLY CONDUCT",80
"2008","ENDAN WELFARE INCOMP",10
"2008","ESCAPE 3",23
"2008","FELONY ASSAULT",16264
"2008","FORGERY",5047
"2008","FRAUDS",2934
"2008","FRAUDULENT ACCOSTING",299
"2008","GAMBLING",199
"2008","GRAND LARCENY",43766
"2008","GRAND LARCENY OF MOTOR VEHICLE",12471
"2008","HARRASSMENT 2",61020
"2008","HOMICIDE-NEGLIGENT-VEHICLE",11
"2008","HOMICIDE-NEGLIGENT,UNCLASSIFIE",3
"2008","INTOXICATED & IMPAIRED DRIVING",8265
"2008","INTOXICATED/IMPAIRED DRIVING",2
"2008","JOSTLING",27
"2008","KIDNAPPING & RELATED OFFENSES",303
"2008","LOITERING",7
"2008","LOITERING FOR DRUG PURPOSES",10
"2008","LOITERING/DEVIATE SEX",1
"2008","LOITERING/GAMBLING (CARDS, DIC",24
"2008","MISCELLANEOUS PENAL LAW",11116
"2008","MURDER & NON-NEGL. MANSLAUGHTER",515
"2008","NEW YORK CITY HEALTH CODE",8
"2008","NYS LAWS-UNCLASSIFIED FELONY",407
"2008","OFF. AGNST PUB ORD SENSBLTY &",31209
"2008","OFFENSES AGAINST MARRIAGE UNCL",1
"2008","OFFENSES AGAINST PUBLIC ADMINI",10377
"2008","OFFENSES AGAINST PUBLIC SAFETY",53
"2008","OFFENSES AGAINST THE PERSON",1151
"2008","OFFENSES INVOLVING FRAUD",1702
"2008","OFFENSES RELATED TO CHILDREN",49
"2008","OTHER OFFENSES RELATED TO THEF",735
"2008","OTHER STATE LAWS",20
"2008","OTHER STATE LAWS (NON PENAL LA",521
"2008","OTHER TRAFFIC INFRACTION",3
"2008","PETIT LARCENY",82995
"2008","PETIT LARCENY OF MOTOR VEHICLE",103
"2008","POSSESSION OF STOLEN PROPERTY",2816
"2008","PROSTITUTION & RELATED OFFENSES",89
"2008","RAPE",1284
"2008","ROBBERY",22379
"2008","SEX CRIMES",5297
"2008","THEFT-FRAUD",6690
"2008","THEFT OF SERVICES",32
"2008","UNAUTHORIZED USE OF A VEHICLE",1185
"2008","UNLAWFUL POSS. WEAP. ON SCHOOL",5
"2008","VEHICLE AND TRAFFIC LAWS",5237
"2009","",1761
"2009","ADMINISTRATIVE CODE",1239
"2009","ALCOHOLIC BEVERAGE CONTROL LAW",71
"2009","ANTICIPATORY OFFENSES",11
"2009","ARSON",1438
"2009","ASSAULT 3 & RELATED OFFENSES",50163
"2009","BURGLAR'S TOOLS",218
"2009","BURGLARY",19438
"2009","CHILD ABANDONMENT/NON SUPPORT",24
"2009","CRIMINAL MISCHIEF & RELATED OF",52174
"2009","CRIMINAL TRESPASS",8535
"2009","DANGEROUS DRUGS",39597
"2009","DANGEROUS WEAPONS",14305
"2009","DISORDERLY CONDUCT",181
"2009","DISRUPTION OF A RELIGIOUS SERV",6
"2009","ENDAN WELFARE INCOMP",18
"2009","ESCAPE 3",22
"2009","FELONY ASSAULT",16760
"2009","FORGERY",4697
"2009","FRAUDS",2941
"2009","FRAUDULENT ACCOSTING",306
"2009","GAMBLING",205
"2009","GRAND LARCENY",38990
"2009","GRAND LARCENY OF MOTOR VEHICLE",10616
"2009","HARRASSMENT 2",58522
"2009","HOMICIDE-NEGLIGENT-VEHICLE",19
"2009","HOMICIDE-NEGLIGENT,UNCLASSIFIE",4
"2009","INTOXICATED & IMPAIRED DRIVING",7684
"2009","INTOXICATED/IMPAIRED DRIVING",4
"2009","JOSTLING",28
"2009","KIDNAPPING & RELATED OFFENSES",257
"2009","LOITERING",3
"2009","LOITERING FOR DRUG PURPOSES",2
